id,text,dataset,league,season,season_type,source_endpoint,source_params_json,run_id,fetched_at_utc,row_content_hash,source_response_keys,team_id_clean,team_name_clean,dataset_clean,_cleaned_at_utc,_clean_run_id,_row_content_hash
1611661327,PDX,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,9b927ce1774e20f6185eb168218192f423cc507c23734510dcb524427b9ed032,"[""teams""]",1611661327,PDX,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,e305b72162101aa8a65ef3953534e7ef5519c41f6b9207ccbaa90d496b72034b
1611661317,PHX,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,f7008ca386e80fce4320c25e09f9fc061fd7b32723dcde89376903ee82d97a6f,"[""teams""]",1611661317,PHX,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,5a6c13c547f5c2f9e24ac9669eb7ce83d1b8566d7a561332905335667f020674
1611661328,SEA,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,907a88f73629d96e0c1b589e309b731af5396f7980c4c1188834ded27206a352,"[""teams""]",1611661328,SEA,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,08f1c87c3564cba3484183ca1572906a18746103d046e663e29aea3ed3613a0a
1611661332,TOR,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,65989610adfc59e3297fa56f6482ff4a42ddf67b4cd9b55330f7d5eed7e5a904,"[""teams""]",1611661332,TOR,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,b4ebf00a409dc3bd5945793cf0303afcb1f86549f74c502fbaa548e322bcb0b0
1611661322,WAS,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,7f2a5f73233463fc9f6e10a9b12a8d851fd86a0933c8a49830c6c6d5528b8293,"[""teams""]",1611661322,WAS,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,866b2fe21510222fed414dc4aafd9de31a4ac67b44f4ded88c8ad154ef985a93
1611661330,ATL,teams_directory,wnba,,,/get-teams/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,6650961fb17437a0efb3c1c2ced8e9ad13f4336d5989620bf01cb2d9fef18b2a,"[""teams""]",1611661330,ATL,teams_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,8a44c370f9c182a5b5eb5163c8c4c2b834b58660824d13967362ac29d5015892
1611661329,CHI,teams_directory,wnba,,,/get-teams/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,e6d34ed0fe62363a5d374c408b935d8a8f29638b0e41a03838b7b2e5d98f1a1f,"[""teams""]",1611661329,CHI,teams_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,c6302b245dca90be7e547194f3a824c619399274e1f77b67c58dd76ce8148cd1
1611661323,CON,teams_directory,wnba,,,/get-teams/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,b027582a9433c1510cf671222eaa8d872220ce57d0797f40d90e6b285aeb2985,"[""teams""]",1611661323,CON,teams_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,755c79154ccf3546b4d45d3d6a9d7d6327c537c6773ad0628336a7c216129bcd
1611661321,DAL,teams_directory,wnba,,,/get-teams/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,8b6adee0e32c2d711918623c984dafd400068b66a34760b645c9978b44cc01ec,"[""teams""]",1611661321,DAL,teams_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,f24f9fb8d919c2d479a0f6be33102771feabf31a9183e0c633dc3d92ee0b438c
1611661331,GSV,teams_directory,wnba,,,/get-teams/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,9b7bcccdcc20ab380138b7b5489328184adb6317fe456f5293778f8cfa338067,"[""teams""]",1611661331,GSV,teams_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,ec7438e492f10ca9158c426260d9fa38fc2881ad39f82a3a5d1d0d316be23a64
