player,metric,value,league_pctile,rookie_pctile,rookie_rank,lower_is_better,league_median,rookie_median
Lauren Betts,rim_share,0.5030674846625767,86.57718120805369,86.48648648648648,6.0,False,0.28160919540229884,0.32075471698113206
Lauren Betts,mid_share,0.49693251533742333,5.369127516778524,2.7027027027027026,37.0,True,0.292259083728278,0.28460038986354774
Lauren Betts,three_share,0.0,2.013422818791946,2.7027027027027026,37.0,False,0.39636363636363636,0.411214953271028
Lauren Betts,rim_accuracy,0.7682926829268293,93.95973154362416,97.2972972972973,2.0,False,0.6470588235294118,0.6216216216216216
Lauren Betts,three_accuracy,,,,,False,0.33098523124757095,0.31337071015970097
Lauren Betts,unassisted_pts_share,0.23333333333333334,41.61073825503356,40.54054054054054,23.0,False,0.2785515320334262,0.2594594594594595
Lauren Betts,blocked_rate,0.06134969325153374,43.624161073825505,51.35135135135135,19.0,True,0.05263157894736842,0.06134969325153374
Lauren Betts,on_net,-3.26608347972153,33.557046979865774,45.94594594594595,21.0,False,-1.0725857868956865,-2.9497545162915344
Lauren Betts,net_swing,-4.837670285685832,26.174496644295303,27.027027027027028,28.0,False,-0.08191443580182067,-0.5678240640811936
Lauren Betts,ortg_swing,-7.558866170074495,15.436241610738255,29.72972972972973,27.0,False,0.14766015447524694,-0.5207334994568953
Lauren Betts,drtg_swing,-2.7211958843886634,65.77181208053692,64.86486486486487,14.0,True,-0.15310607673868049,-1.0957674714839953
Lauren Betts,on_poss_share,0.40786240786240785,29.53020134228188,56.75675675675676,17.0,False,0.5571593533487298,0.35118592195868403
Gabriela Jaquez,min_per_game,18.969796875,38.92617449664429,62.16216216216216,15.0,False,22.482577272727273,14.19479375
Gabriela Jaquez,usage,17.38585333989145,42.95302013422819,59.45945945945946,16.0,False,18.313632100165844,17.104845933231744
Gabriela Jaquez,pace_neutral_pts_75,13.278688524590164,38.92617449664429,59.45945945945946,16.0,False,14.83433734939759,13.08651026392962
Gabriela Jaquez,ts_pct,0.5204317656129529,30.87248322147651,43.24324324324324,22.0,False,0.5613472333600642,0.533021320852834
Gabriela Jaquez,efg_pct,0.46153846153846156,22.818791946308725,40.54054054054054,23.0,False,0.5155440414507773,0.4765625
Gabriela Jaquez,shot_quality_avg,0.5282691086691087,80.53691275167785,78.37837837837837,9.0,False,0.5113504216867469,0.5156212072649572
Gabriela Jaquez,shot_making_over_sq,-0.06673064713064714,12.751677852348994,32.432432432432435,26.0,False,0.003609316770186388,-0.025081249999999944
Gabriela Jaquez,ast_75,1.721311475409836,9.395973154362416,16.216216216216218,32.0,False,3.0952380952380953,2.9750479846449136
Gabriela Jaquez,tov_75,2.2131147540983607,59.73154362416108,62.16216216216216,15.0,True,2.407704654895666,2.4069319640564824
Gabriela Jaquez,ast_to_tov,0.7777777777777778,7.38255033557047,13.513513513513514,33.0,False,1.4210526315789473,1.4444444444444444
Gabriela Jaquez,ast_pts_created_75,3.995901639344262,8.724832214765101,16.216216216216218,32.0,False,7.354721549636803,6.573896353166987
Gabriela Jaquez,oreb_75,1.4754098360655739,51.67785234899329,56.75675675675676,17.0,False,1.4296187683284458,1.3816925734024181
Gabriela Jaquez,dreb_75,4.509493670886076,57.04697986577181,67.56756756756756,13.0,False,3.984819734345351,3.4554973821989527
Gabriela Jaquez,off_fgrebound_pct,0.03705059057518074,46.97986577181208,45.94594594594595,21.0,False,0.03974141324482758,0.038836481704770234
Gabriela Jaquez,def_fgrebound_pct,0.1353838660846907,63.758389261744966,75.67567567567568,10.0,False,0.11404379229878943,0.10636640836981842
Gabriela Jaquez,stl_75,1.4240506329113924,59.06040268456376,54.054054054054056,18.0,False,1.3372389200203771,1.3953488372093024
