team,player_a,player_b,r,games_both,combined_mpg,combined_sd,r_pctile,name_a,name_b
LVA,203855,1631006,0.45152195367408154,24,28.988204166666666,9.96712079229718,96.83257918552036,Stephanie Talbot,Kierstan Bell
LVA,203855,1631019,-0.16493707914573,37,41.20045135135135,7.23945441907751,35.294117647058826,Stephanie Talbot,NaLyssa Smith
LVA,204319,204323,0.2877176339044609,24,38.08471666666667,7.542659200300918,90.64856711915536,Jewell Loyd,Cheyenne Parker-Tyus
LVA,204319,1628932,-0.21692423625053536,33,58.51666363636364,5.212162988854663,30.316742081447963,Jewell Loyd,A'ja Wilson
LVA,204319,1629488,-0.23224280661212118,33,39.143942424242425,7.671983659516876,28.50678733031674,Jewell Loyd,Brianna Turner
LVA,204319,1629498,-0.005386358888533132,35,59.28905142857142,5.757152022912403,58.97435897435898,Jewell Loyd,Jackie Young
LVA,204319,1631006,-0.3411410242845735,22,37.153786363636364,6.434479181446768,16.7420814479638,Jewell Loyd,Kierstan Bell
LVA,204319,1631019,0.09632497696505526,35,51.43998857142857,7.158901958391772,72.6998491704374,Jewell Loyd,NaLyssa Smith
LVA,204323,1628932,-0.37685308121044075,23,41.0275347826087,4.8887191161813535,13.8763197586727,Cheyenne Parker-Tyus,A'ja Wilson
LVA,204323,1629488,-0.41760511352509916,22,20.77879090909091,8.14123919524535,11.010558069381599,Cheyenne Parker-Tyus,Brianna Turner
LVA,204323,1629498,0.03116097112293306,25,42.885344,5.801478695131671,63.348416289592755,Cheyenne Parker-Tyus,Jackie Young
LVA,204323,1631006,0.28365373702288754,18,22.12963333333333,8.415643149725955,90.49773755656109,Cheyenne Parker-Tyus,Kierstan Bell
LVA,204323,1631019,-0.11566080817836391,25,33.41466,7.6021294423010195,42.53393665158371,Cheyenne Parker-Tyus,NaLyssa Smith
LVA,1628932,1629488,-0.3376300183974176,33,43.84596666666667,6.915388009028608,17.043740573152338,A'ja Wilson,Brianna Turner
LVA,1628932,1629498,0.46256980310102747,35,64.4081,7.534968708783928,97.28506787330316,A'ja Wilson,Jackie Young
LVA,1628932,1631006,-0.40651146375473307,21,41.84761904761905,5.613519340183932,11.76470588235294,A'ja Wilson,Kierstan Bell
LVA,1628932,1631019,0.08719716056888804,34,56.5333294117647,8.240231637687444,70.88989441930619,A'ja Wilson,NaLyssa Smith
LVA,1629488,1629498,-0.42455512372108045,34,44.51275588235294,7.689994951773224,10.708898944193061,Brianna Turner,Jackie Young
LVA,1629488,1631006,0.09021613250232026,21,23.668261904761906,11.226658387627023,71.49321266968326,Brianna Turner,Kierstan Bell
LVA,1629488,1631019,-0.34311212732432106,34,36.53039411764706,8.43437620750114,16.289592760180994,Brianna Turner,NaLyssa Smith
LVA,1629498,1631006,-0.3237520773519288,23,43.112330434782606,5.751438053884262,18.552036199095024,Jackie Young,Kierstan Bell
LVA,1629498,1631019,0.27978627731872074,36,57.202316666666675,7.940769106668986,90.19607843137256,Jackie Young,NaLyssa Smith
LVA,1631006,1631019,0.04005375350646161,24,35.72569583333333,6.98089893952741,64.5550527903469,Kierstan Bell,NaLyssa Smith
MIN,203825,203827,0.4902211391885722,38,61.78246052631579,7.7604452636792605,98.0392156862745,Kayla McBride,Natasha Howard
MIN,203825,1627675,0.31086504641547585,38,62.99475263157895,6.881462550027089,91.8552036199095,Kayla McBride,Courtney Williams
MIN,203825,1628269,0.05059111875487487,38,55.728073684210536,9.004287398780056,66.21417797888385,Kayla McBride,Nia Coffey
MIN,203825,1629483,0.046553741851186735,10,62.39667000000001,7.523994869165063,65.76168929110105,Kayla McBride,Napheesa Collier
