team_abbreviation,dimension,baseline_value,recent_value,delta,league_scale,z_delta
GSV,second_chance_off_poss_share,0.14945321992709598,0.13821138211382114,-0.011241837813274841,0.014055422510176658,-0.7998221188395671
GSV,penalty_off_poss_share,0.25880923450789795,0.1978319783197832,-0.06097725618811475,0.03672341091110656,-1.6604464202880702
GSV,pace,74.81818181818181,73.8,-1.0181818181818159,1.8596041745647498,-0.5475260983537675
IND,three_point_attempt_rate,0.3941990771259064,0.36257309941520466,-0.03162597771070175,0.050443404684413044,-0.6269596175865214
IND,rim_fga_share,0.3197099538562953,0.33187134502923976,0.012161391172944458,0.05815079271966341,0.20913543228159884
IND,midrange_fga_share,0.2860909690177983,0.3055555555555556,0.01946458653775729,0.058844169397011585,0.330781906469493
IND,corner3_share_of_3pa,0.2140468227424749,0.14112903225806453,-0.07291779048441038,0.030733017041944796,-2.3726206374366465
IND,ft_attempt_rate,0.33223467369808835,0.33771929824561403,0.005484624547525685,0.04221213900935763,0.12993003141370893
IND,turnover_rate,0.18945634266886327,0.1781818181818182,-0.011274524487045079,0.015704202441784446,-0.7179304093181297
IND,live_ball_turnover_rate,0.09060955518945635,0.09212121212121212,0.0015116569317557699,0.010658823415013403,0.1418221198435971
IND,off_reb_per_100_off_poss,14.442613948380012,12.484848484848484,-1.957765463531528,1.9568467032219692,-1.0004695106203496
IND,assist_rate,0.6385372714486639,0.5882352941176471,-0.05030197733101682,0.019207007525681472,-2.6189388046919135
IND,assisted_points_share,0.5280077934729663,0.4881889763779528,-0.03981881709501356,0.01807023533814567,-2.2035583018090166
IND,second_chance_off_poss_share,0.12246018671059858,0.11393939393939394,-0.008520792771204641,0.014055422510176658,-0.606228148960678
IND,penalty_off_poss_share,0.3174080175727622,0.2787878787878788,-0.03862013878488341,0.03672341091110656,-1.0516490115356687
IND,pace,82.77272727272727,82.5,-0.27272727272726627,1.8596041745647498,-0.14665877634475602
LAS,three_point_attempt_rate,0.384297520661157,0.386066763425254,0.0017692427640969566,0.050443404684413044,0.03507381738337838
LAS,rim_fga_share,0.30785123966942146,0.32075471698113206,0.012903477311710598,0.05815079271966341,0.22189684281547806
LAS,midrange_fga_share,0.30785123966942146,0.2931785195936139,-0.014672720075807555,0.058844169397011585,-0.24934874986191433
LAS,corner3_share_of_3pa,0.2114695340501792,0.20676691729323307,-0.0047026167569461375,0.030733017041944796,-0.1530151351729623
LAS,ft_attempt_rate,0.3209366391184573,0.22641509433962265,-0.09452154477883468,0.04221213900935763,-2.239202916437877
LAS,turnover_rate,0.17381228273464658,0.1918819188191882,0.018069636084541624,0.015704202441784446,1.1506242454225772
LAS,live_ball_turnover_rate,0.09907300115874855,0.1057810578105781,0.006708056651829553,0.010658823415013403,0.6293430701160666
LAS,off_reb_per_100_off_poss,13.267670915411356,12.423124231242312,-0.8445466841690443,1.9568467032219692,-0.4315855109030713
LAS,assist_rate,0.6646525679758308,0.7210682492581603,0.05641568128232943,0.019207007525681472,2.937244711696846
LAS,assisted_points_share,0.5502673796791444,0.6379888268156425,0.0877214471364981,0.01807023533814567,4.854471759497288
LAS,second_chance_off_poss_share,0.11645422943221322,0.11193111931119311,-0.0045231101210201075,0.014055422510176658,-0.32180534720640414
LAS,penalty_off_poss_share,0.3041714947856315,0.22509225092250923,-0.07907924386312226,0.03672341091110656,-2.153374152922317
LAS,pace,82.19047619047619,81.3,-0.8904761904761926,1.8596041745647498,-0.4788525443510651
LVA,three_point_attempt_rate,0.3412291933418694,0.3434343434343434,0.0022051500924740175,0.050443404684413044,0.043715330205603795
LVA,rim_fga_share,0.21318822023047376,0.23809523809523808,0.02490701786476432,0.05815079271966341,0.4283177700575375
LVA,midrange_fga_share,0.44558258642765686,0.4184704184704185,-0.027112167957238364,0.058844169397011585,-0.46074518911665124
LVA,corner3_share_of_3pa,0.22138836772983114,0.20168067226890757,-0.019707695460923574,0.030733017041944796,-0.6412548248688461
LVA,ft_attempt_rate,0.3034571062740077,0.2683982683982684,-0.03505883787573927,0.04221213900935763,-0.8305392405717084
LVA,turnover_rate,0.15737704918032788,0.14901477832512317,-0.008362270855204718,0.015704202441784446,-0.5324861855419717
LVA,live_ball_turnover_rate,0.08743169398907104,0.0874384236453202,6.729656249163107e-06,0.010658823415013403,0.0006313695224262841
LVA,off_reb_per_100_off_poss,12.568306010928962,10.467980295566502,-2.1003257153624606,1.9568467032219692,-1.0733215391396023
LVA,assist_rate,0.6837270341207349,0.6301775147928994,-0.05354951932783547,0.019207007525681472,-2.7880199066010163
LVA,assisted_points_share,0.5808929428708594,0.5342019543973942,-0.0466909884734652,0.01807023533814567,-2.5838616708495246
LVA,second_chance_off_poss_share,0.11147540983606558,0.09113300492610837,-0.0203424049099572,0.014055422510176658,-1.4472994244910482
LVA,penalty_off_poss_share,0.2797814207650273,0.2044334975369458,-0.07534792322808151,0.03672341091110656,-2.0517681053775267
