player_id,player_name,team_id,team_abbreviation,games_played
1642791,Zaay Green,1611661332,TOR,1
1642792,Kiki Iriafen,1611661322,WAS,35
1642793,Aziaha James,1611661321,DAL,34
1642794,Juste Jocyte,1611661331,GSV,11
1642796,Rayah Marshall,1611661323,CON,3
1642797,Anastasiia Olairi Kosu,1611661324,MIN,29
1642798,Dominique Malonga,1611661328,SEA,29
1642800,Aneesah Morrow,1611661332,TOR,27
1642801,Aaliyah Nye,1611661330,ATL,19
1642802,Lucy Olsen,1611661322,WAS,19
1642803,Michelle Onyiah,1611661325,IND,1
1642804,Te-Hina Paopao,1611661330,ATL,29
1642808,JJ Quinerly,1611661321,DAL,2
1642809,Saniya Rivers,1611661323,CON,33
1642814,Taylor Thierry,1611661328,SEA,12
1642815,Makayla Timpson,1611661325,IND,38
1642817,Hailey Van Lith,1611661323,CON,16
1642818,Maddy Westbeld,1611661317,PHX,4
1642820,Liatu King,1611661324,MIN,8
1642822,Kaitlyn Chen,1611661331,GSV,37
1642826,Aubrey Griffin,1611661313,NYL,4
1642835,Morgan Maly,1611661329,CHI,1
1643420,Laura Juskaite,1611661332,TOR,37
1643424,Costanza Verona,1611661321,DAL,1
1643425,Azzi Fudd,1611661321,DAL,30
1643426,Olivia Miles,1611661324,MIN,37
1643427,Lauren Betts,1611661322,WAS,38
1643428,Flau'jae Johnson,1611661328,SEA,36
1643429,Gianna Kneepkens,1611661323,CON,29
1643430,Cotie McMahon,1611661322,WAS,36
1643431,Madina Okot,1611661330,ATL,37
1643433,Raven Johnson,1611661325,IND,34
1643436,Serah Williams,1611661327,PDX,33
1643437,Ashlon Jackson,1611661323,CON,12
1643438,Marta Suarez,1611661317,PHX,14
1643439,Tonie Morgan,1611661320,LAS,6
1643440,Darianna Littlepage-Buggs,1611661322,WAS,3
1643441,Raegan Beers,1611661323,CON,31
1643443,Awa Fam,1611661328,SEA,32
1643444,Ta'Niya Latson,1611661319,LVA,17
1643445,Kiki Rice,1611661332,TOR,21
1643447,Gabriela Jaquez,1611661329,CHI,34
1643448,Nell Angloma,1611661323,CON,33
1643449,Charlisse Leger-Walker,1611661323,CON,37
1643450,Rori Harmon,1611661322,WAS,12
1643453,Grace VanSlooten,1611661325,IND,17
1643455,Angela Dugalic,1611661322,WAS,33
1643457,Teonni Key,1611661332,TOR,32
1643458,Saylor Poffenbarger,1611661329,CHI,5
1643461,Laura Ziegler,1611661320,LAS,3
1643462,Chance Gray,1611661320,LAS,35
1643467,Cassandre Prosper,1611661322,WAS,34
1643469,Indya Nivar,1611661330,ATL,20
1643470,Shay Ciezki,1611661317,PHX,2
1643473,Taina Mair,1611661328,SEA,7
1643479,Ndjakalenga Mwenentanda,1611661331,GSV,5
1643487,Quionche Carter,1611661317,PHX,13
1643488,Emma Cechova,1611661324,MIN,3
1643489,Antonia Delaere,1611661324,MIN,37
1643490,Eliska Joklova,1611661324,MIN,20
1643493,Noemie Brochant,1611661317,PHX,37
1643494,Frieda Buhner,1611661327,PDX,35
1643495,Justine Pissott,1611661319,LVA,8
1643505,Jovana Nogic,1611661317,PHX,16
1643506,Teja Oblak,1611661327,PDX,28
1643525,Alex Fowler,1611661313,NYL,2
1643527,Jordan Harrison,1611661327,PDX,10
1643644,Alicia Florez,1611661322,WAS,29
1643647,Tima Pouye,1611661332,TOR,19
1643686,Nadia Fingall,1611661331,GSV,6
1643706,Ornella Bankole,1611661332,TOR,7
201886,DeWanna Bonner,1611661317,PHX,37
202252,Alysha Clark,1611661321,DAL,26
202664,Courtney Vandersloot,1611661329,CHI,22
203014,Nneka Ogwumike,1611661320,LAS,37
203024,Damiris Dantas,1611661325,IND,12
203026,Tiffany Hayes,1611661331,GSV,35
203398,Brittney Griner,1611661323,CON,18
203400,Skylar Diggins,1611661329,CHI,19
203405,Kayla Alexander,1611661332,TOR,4
203822,Rebekah Gardner,1611661313,NYL,36
203824,Odyssey Sims,1611661321,DAL,30
203825,Kayla McBride,1611661324,MIN,39
203826,Alyssa Thomas,1611661317,PHX,36
203827,Natasha Howard,1611661324,MIN,39
203828,Stefanie Dolson,1611661328,SEA,38
203833,Chelsea Gray,1611661319,LVA,38
203855,Stephanie Talbot,1611661319,LVA,39
203866,Kayla Thornton,1611661331,GSV,37
204296,Rebecca Allen,1611661313,NYL,23
204319,Jewell Loyd,1611661319,LVA,37
204322,Elizabeth Williams,1611661329,CHI,39
204323,Cheyenne Parker-Tyus,1611661319,LVA,26
204324,Dearica Hamby,1611661320,LAS,38
204329,Kiah Stokes,1611661331,GSV,36
204330,Isabelle Harrison,1611661332,TOR,25
204333,Natasha Cloud,1611661329,CHI,38
204335,Betnijah Laney-Hamilton,1611661322,WAS,24
204365,Erica Wheeler,1611661320,LAS,37
204468,Valeriane Ayayi,1611661317,PHX,32
