team_id,franchise_id,opponent_id,opponent_franchise_id,games_played,wins,losses,win_pct,points_for,points_against,point_differential
3,dallas_wings,16,washington_mystics,3,1,2,0.33333333333333331,259,246,13
3,dallas_wings,17,las_vegas_aces,3,2,1,0.66666666666666663,275,252,23
3,dallas_wings,18,connecticut_sun,2,2,0,1,169,146,23
3,dallas_wings,19,chicago_sky,3,3,0,1,288,272,16
3,dallas_wings,20,atlanta_dream,3,0,3,0,222,245,-23
3,dallas_wings,5,indiana_fever,3,2,1,0.66666666666666663,285,287,-2
3,dallas_wings,6,los_angeles_sparks,2,2,0,1,194,178,16
3,dallas_wings,8,minnesota_lynx,4,0,4,0,329,378,-49
3,dallas_wings,9,new_york_liberty,3,2,1,0.66666666666666663,277,252,25
5,indiana_fever,11,phoenix_mercury,3,2,1,0.66666666666666663,287,277,10
5,indiana_fever,129689,golden_state_valkyries,3,1,2,0.33333333333333331,253,260,-7
5,indiana_fever,131935,toronto_tempo,2,2,0,1,214,186,28
5,indiana_fever,132052,portland_fire,3,2,1,0.66666666666666663,286,271,15
5,indiana_fever,14,seattle_storm,3,3,0,1,304,280,24
5,indiana_fever,16,washington_mystics,2,1,1,0.5,180,180,0
5,indiana_fever,17,las_vegas_aces,3,2,1,0.66666666666666663,277,229,48
5,indiana_fever,18,connecticut_sun,2,2,0,1,208,163,45
5,indiana_fever,19,chicago_sky,3,3,0,1,317,282,35
5,indiana_fever,20,atlanta_dream,4,2,2,0.5,375,383,-8
5,indiana_fever,3,dallas_wings,3,1,2,0.33333333333333331,287,285,2
5,indiana_fever,6,los_angeles_sparks,3,2,1,0.66666666666666663,290,271,19
5,indiana_fever,8,minnesota_lynx,1,0,1,0,100,108,-8
5,indiana_fever,9,new_york_liberty,4,2,2,0.5,391,372,19
6,los_angeles_sparks,11,phoenix_mercury,4,2,2,0.5,377,370,7
6,los_angeles_sparks,129689,golden_state_valkyries,2,0,2,0,136,162,-26
6,los_angeles_sparks,131935,toronto_tempo,3,1,2,0.33333333333333331,292,326,-34
6,los_angeles_sparks,132052,portland_fire,2,2,0,1,195,173,22
6,los_angeles_sparks,14,seattle_storm,2,1,1,0.5,152,165,-13
6,los_angeles_sparks,16,washington_mystics,2,1,1,0.5,162,167,-5
6,los_angeles_sparks,17,las_vegas_aces,3,1,2,0.33333333333333331,248,279,-31
6,los_angeles_sparks,18,connecticut_sun,3,1,2,0.33333333333333331,235,237,-2
6,los_angeles_sparks,19,chicago_sky,3,1,2,0.33333333333333331,272,278,-6
6,los_angeles_sparks,20,atlanta_dream,2,0,2,0,180,225,-45
6,los_angeles_sparks,3,dallas_wings,2,0,2,0,178,194,-16
6,los_angeles_sparks,5,indiana_fever,3,1,2,0.33333333333333331,271,290,-19
6,los_angeles_sparks,8,minnesota_lynx,3,1,2,0.33333333333333331,259,277,-18
6,los_angeles_sparks,9,new_york_liberty,3,1,2,0.33333333333333331,288,295,-7
8,minnesota_lynx,11,phoenix_mercury,3,3,0,1,303,261,42
8,minnesota_lynx,129689,golden_state_valkyries,3,3,0,1,245,225,20
8,minnesota_lynx,131935,toronto_tempo,3,3,0,1,304,237,67
8,minnesota_lynx,132052,portland_fire,3,3,0,1,293,248,45
8,minnesota_lynx,14,seattle_storm,3,3,0,1,279,246,33
8,minnesota_lynx,16,washington_mystics,3,2,1,0.66666666666666663,251,244,7
8,minnesota_lynx,17,las_vegas_aces,3,2,1,0.66666666666666663,287,274,13
8,minnesota_lynx,18,connecticut_sun,2,1,1,0.5,175,170,5
8,minnesota_lynx,19,chicago_sky,3,2,1,0.66666666666666663,243,219,24
8,minnesota_lynx,20,atlanta_dream,2,1,1,0.5,186,172,14
8,minnesota_lynx,3,dallas_wings,4,4,0,1,378,329,49
8,minnesota_lynx,5,indiana_fever,1,1,0,1,108,100,8
8,minnesota_lynx,6,los_angeles_sparks,3,2,1,0.66666666666666663,277,259,18
8,minnesota_lynx,9,new_york_liberty,2,1,1,0.5,176,184,-8
9,new_york_liberty,11,phoenix_mercury,3,3,0,1,253,234,19
9,new_york_liberty,129689,golden_state_valkyries,2,0,2,0,137,163,-26
9,new_york_liberty,131935,toronto_tempo,2,1,1,0.5,188,175,13
9,new_york_liberty,132052,portland_fire,3,1,2,0.33333333333333331,270,261,9
9,new_york_liberty,14,seattle_storm,3,2,1,0.66666666666666663,275,268,7
9,new_york_liberty,16,washington_mystics,3,2,1,0.66666666666666663,267,243,24
9,new_york_liberty,17,las_vegas_aces,3,2,1,0.66666666666666663,297,251,46
9,new_york_liberty,18,connecticut_sun,3,3,0,1,277,230,47
9,new_york_liberty,19,chicago_sky,3,2,1,0.66666666666666663,277,282,-5
9,new_york_liberty,20,atlanta_dream,1,1,0,1,104,90,14
9,new_york_liberty,3,dallas_wings,3,1,2,0.33333333333333331,252,277,-25
9,new_york_liberty,5,indiana_fever,4,2,2,0.5,372,391,-19
9,new_york_liberty,6,los_angeles_sparks,3,2,1,0.66666666666666663,295,288,7
9,new_york_liberty,8,minnesota_lynx,2,1,1,0.5,184,176,8
