game_id,game_date,home_id,away_id,home_abbreviation,home_display_name,away_abbreviation,away_display_name,home_rest_days,away_rest_days,home_b2b,away_b2b,home_predictive_net_rating,season_games_played_x,home_pace,away_predictive_net_rating,season_games_played_y,away_pace,avg_pace,base_margin,rest_diff,expected_home_margin,margin_sigma,home_win_probability,away_win_probability,model_version
401857171,2026-08-24,8,129689,MIN,Minnesota Lynx,GS,Golden State Valkyries,2,2,False,False,11.258006207233164,37,79.911351351351342,8.3995949608324434,35,74.795428571428573,77.353389961389951,2.2110779981285762,0,3.7110779981285762,12.096350411887235,0.62049960610588095,0.37950039389411905,v1_heuristic_margin
401857172,2026-08-24,6,20,LA,Los Angeles Sparks,ATL,Atlanta Dream,1,1,False,False,-7.3887125928903439,36,81.676604938271609,8.0528561640489649,36,80.560185185185176,81.118395061728393,-12.52595274798245,0,-11.02595274798245,12.096350411887235,0.18101317702375663,0.81898682297624337,v1_heuristic_margin
401857173,2026-08-25,18,19,CON,Connecticut Sun,CHI,Chicago Sky,2,1,False,False,-11.903707538823397,35,79.278222222222226,-2.3284063387107001,36,82.344814814814811,80.811518518518511,-7.7379463025329986,1,-5.887946302532999,12.096350411887235,0.31321635510581891,0.68678364489418109,v1_heuristic_margin
401857174,2026-08-25,3,132052,DAL,Dallas Wings,POR,Portland Fire,1,1,False,False,0.7909013786877126,37,78.884444444444441,-4.6644716887598872,35,79.183047619047628,79.033746031746034,4.3115856952108089,0,5.8115856952108089,12.096350411887235,0.68454316509169388,0.31545683490830612,v1_heuristic_margin
401857175,2026-08-25,11,16,PHX,Phoenix Mercury,WSH,Washington Mystics,2,1,False,False,-3.7539753676457104,36,79.320493827160504,1.3418512814706698,35,77.206349206349202,78.263421516754846,-3.9881682901610764,1,-2.1381682901610763,12.096350411887235,0.42984789012511043,0.57015210987488962,v1_heuristic_margin
401857176,2026-08-26,18,129689,CON,Connecticut Sun,GS,Golden State Valkyries,0,1,True,False,-11.903707538823397,35,79.278222222222226,8.3995949608324434,35,74.795428571428573,77.036825396825407,-15.64101969644916,-1,-15.241019696449159,12.096350411887235,0.10384037466859897,0.89615962533140103,v1_heuristic_margin
401857177,2026-08-26,14,131935,SEA,Seattle Storm,TOR,Toronto Tempo,2,2,False,False,-6.4487833523421445,37,80.760900900900893,-11.269010549829666,35,80.203365079365085,80.482132990132982,3.8794216635084671,0,5.3794216635084666,12.096350411887235,0.67173693261578715,0.32826306738421285,v1_heuristic_margin
401857178,2026-08-27,9,129689,NY,New York Liberty,GS,Golden State Valkyries,4,0,False,True,4.5075405901387615,37,79.798258258258258,8.3995949608324434,35,74.795428571428573,77.296843414843408,-3.0084351725356639,2,-0.058435172535663993,12.096350411887235,0.49807279307216007,0.50192720692783999,v1_heuristic_margin
401857179,2026-08-27,11,16,PHX,Phoenix Mercury,WSH,Washington Mystics,1,1,False,False,-3.7539753676457104,36,79.320493827160504,1.3418512814706698,35,77.206349206349202,78.263421516754846,-3.9881682901610764,0,-2.4881682901610764,12.096350411887235,0.41851427573195599,0.58148572426804401,v1_heuristic_margin
401857180,2026-08-28,20,132052,ATL,Atlanta Dream,POR,Portland Fire,3,2,False,False,8.0528561640489649,36,80.560185185185176,-4.6644716887598872,35,79.183047619047628,79.871616402116402,10.157535319194993,1,12.007535319194993,12.096350411887235,0.83956160104187183,0.16043839895812817,v1_heuristic_margin
401857181,2026-08-28,5,18,IND,Indiana Fever,CON,Connecticut Sun,4,1,False,False,6.4513402151189858,37,81.719459459459458,-11.903707538823397,35,79.278222222222226,80.498840840840842,14.775600677706411,2,16.97560067770641,12.096350411887235,0.91974606028693706,0.080253939713062938,v1_heuristic_margin
401857182,2026-08-28,17,131935,LV,Las Vegas Aces,TOR,Toronto Tempo,4,1,False,False,2.6998252398093499,38,79.458538011695907,-11.269010549829666,35,80.203365079365085,79.830951545530496,11.151454530701445,2,13.351454530701444,12.096350411887235,0.86515113295482737,0.13484886704517263,v1_heuristic_margin
401857183,2026-08-28,6,16,LA,Los Angeles Sparks,WSH,Washington Mystics,3,0,False,True,-7.3887125928903439,36,81.676604938271609,1.3418512814706698,35,77.206349206349202,79.441477072310406,-6.93568889853392,2,-3.9856888985339198,12.096350411887235,0.3708907263281393,0.62910927367186065,v1_heuristic_margin
401857184,2026-08-29,9,19,NY,New York Liberty,CHI,Chicago Sky,1,3,False,False,4.5075405901387615,37,79.798258258258258,-2.3284063387107001,36,82.344814814814811,81.071536536536541,5.5420072120404384,-2,6.3420072120404383,12.096350411887235,0.69996190944850989,0.30003809055149011,v1_heuristic_margin
401857185,2026-08-29,11,131935,PHX,Phoenix Mercury,TOR,Toronto Tempo,1,0,False,True,-3.7539753676457104,36,79.320493827160504,-11.269010549829666,35,80.203365079365085,79.761929453262795,5.9941370604014459,1,8.5941370604014455,12.096350411887235,0.76129473732802777,0.23870526267197223,v1_heuristic_margin
401857186,2026-08-30,20,8,ATL,Atlanta Dream,MIN,Minnesota Lynx,1,5,False,False,8.0528561640489649,36,80.560185185185176,11.258006207233164,37,79.911351351351342,80.235768268268259,-2.5716767612995737,-2,-1.7716767612995736,12.096350411887235,0.44177765494875881,0.55822234505124113,v1_heuristic_margin
401857187,2026-08-30,14,6,SEA,Seattle Storm,LA,Los Angeles Sparks,3,1,False,False,-6.4487833523421445,37,80.760900900900893,-7.3887125928903439,36,81.676604938271609,81.218752919586251,0.76339880749978561,2,2.9633988074997859,12.096350411887235,0.59676515782709916,0.40323484217290084,v1_heuristic_margin
401857188,2026-08-30,132052,129689,POR,Portland Fire,GS,Golden State Valkyries,1,2,False,False,-4.6644716887598872,35,79.183047619047628,8.3995949608324434,35,74.795428571428573,76.989238095238107,-10.057925377775236,-1,-8.9079253777752356,12.096350411887235,0.23073930342885335,0.7692606965711466,v1_heuristic_margin
401857189,2026-08-30,3,18,DAL,Dallas Wings,CON,Connecticut Sun,4,1,False,False,0.7909013786877126,37,78.884444444444441,-11.903707538823397,35,79.278222222222226,79.081333333333333,10.039065993420019,2,12.239065993420018,12.096350411887235,0.84418273290200418,0.15581726709799582,v1_heuristic_margin
401857190,2026-09-17,20,18,ATL,Atlanta Dream,CON,Connecticut Sun,17,17,False,False,8.0528561640489649,36,80.560185185185176,-11.903707538823397,35,79.278222222222226,79.919203703703701,15.949126797957959,0,17.449126797957959,12.096350411887235,0.92542096100680704,0.074579038993192959,v1_heuristic_margin
401857191,2026-09-17,19,16,CHI,Chicago Sky,WSH,Washington Mystics,18,19,False,False,-2.3284063387107001,36,82.344814814814811,1.3418512814706698,35,77.206349206349202,79.775582010582013,-2.9279693777874241,-1,-1.7779693777874241,12.096350411887235,0.44157234393641254,0.55842765606358746,v1_heuristic_margin
401857192,2026-09-17,3,6,DAL,Dallas Wings,LA,Los Angeles Sparks,17,17,False,False,0.7909013786877126,37,78.884444444444441,-7.3887125928903439,36,81.676604938271609,80.280524691358025,6.5666370141104924,0,8.0666370141104924,12.096350411887235,0.74757092890658872,0.25242907109341128,v1_heuristic_margin
401857193,2026-09-17,132052,11,POR,Portland Fire,PHX,Phoenix Mercury,17,18,False,False,-4.6644716887598872,35,79.183047619047628,-3.7539753676457104,36,79.320493827160504,79.251770723104073,-0.7215844568517048,-1,0.42841554314829522,12.096350411887235,0.51412635576835231,0.48587364423164769,v1_heuristic_margin
401857194,2026-09-17,14,17,SEA,Seattle Storm,LV,Las Vegas Aces,17,19,False,False,-6.4487833523421445,37,80.760900900900893,2.6998252398093499,38,79.458538011695907,80.109719456298393,-7.3289246773273717,-2,-6.5289246773273719,12.096350411887235,0.29468702036534428,0.70531297963465578,v1_heuristic_margin
