normalized_name,player_id,pbpstats_player_name,team_abbreviation,latest_game_date,espn_athlete_id,espn_player_name,experience_years,source_url,match_status,match_method,exclusion_reason
marinamabrey,1629497,Marina Mabrey,TOR,2026-08-18,3904576,Marina Mabrey,8,https://www.espn.com/wnba/player/bio/_/id/3904576/marina-mabrey,matched,normalized_full_name_exact,
marinefauthoux,1630469,Marine Fauthoux,NYL,2026-08-18,4790260,Marine Fauthoux,0,https://www.espn.com/wnba/player/bio/_/id/4790260/marine-fauthoux,matched,normalized_full_name_exact,
marinejohannes,1629546,Marine Johannes,NYL,2026-08-18,4038379,Marine Johannes,5,https://www.espn.com/wnba/player/bio/_/id/4038379/marine-johannes,matched,normalized_full_name_exact,
martasuarez,1643438,Marta Suarez,PHX,2026-08-16,4704594,Marta Suarez,0,https://www.espn.com/wnba/player/bio/_/id/4704594/marta-suarez,matched,normalized_full_name_exact,
mayacaldwell,1630471,Maya Caldwell,MIN,2026-08-19,4280850,Maya Caldwell,5,https://www.espn.com/wnba/player/bio/_/id/4280850/maya-caldwell,matched,normalized_full_name_exact,
megandileo,1629484,Megan DiLeo,PDX,2026-08-16,3934218,Megan DiLeo,8,https://www.espn.com/wnba/player/bio/_/id/3934218/megan-dileo,matched,normalized_full_name_exact,
mercedesrussell,1628920,Mercedes Russell,IND,2026-08-16,3056672,Mercedes Russell,7,https://www.espn.com/wnba/player/bio/_/id/3056672/mercedes-russell,matched,normalized_full_name_exact,
michaelaonyenwere,1630446,Michaela Onyenwere,WAS,2026-08-19,4282173,Michaela Onyenwere,6,https://www.espn.com/wnba/player/bio/_/id/4282173/michaela-onyenwere,matched,normalized_full_name_exact,
mielasowah,1631039,Miela Sowah,GSV,2026-05-21,4398577,Miela Sowah,0,https://www.espn.com/wnba/player/bio/_/id/4398577/miela-sowah,matched,normalized_full_name_exact,
moniqueakoamakani,1642777,Monique Akoa Makani,LAS,2026-08-20,5274110,Monique Akoa Makani,2,https://www.espn.com/wnba/player/bio/_/id/5274110/monique-akoa-makani,matched,normalized_full_name_exact,
moniquebillings,1628881,Monique Billings,IND,2026-08-20,3142255,Monique Billings,9,https://www.espn.com/wnba/player/bio/_/id/3142255/monique-billings,matched,normalized_full_name_exact,
myishahinesallen,1628899,Myisha Hines-Allen,IND,2026-08-18,3142055,Myisha Hines-Allen,9,https://www.espn.com/wnba/player/bio/_/id/3142055/myisha-hines-allen,matched,normalized_full_name_exact,
nalyssasmith,1631019,NaLyssa Smith,LVA,2026-08-20,4398776,NaLyssa Smith,5,https://www.espn.com/wnba/player/bio/_/id/4398776/nalyssa-smith,matched,normalized_full_name_exact,
nadiafingall,1643686,Nadia Fingall,GSV,2026-08-12,4066546,Nadia Fingall,0,https://www.espn.com/wnba/player/bio/_/id/4066546/nadia-fingall,matched,normalized_full_name_exact,
napheesacollier,1629483,Napheesa Collier,MIN,2026-08-19,3917450,Napheesa Collier,8,https://www.espn.com/wnba/player/bio/_/id/3917450/napheesa-collier,matched,normalized_full_name_exact,
natashacloud,204333,Natasha Cloud,CHI,2026-08-18,2529137,Natasha Cloud,11,https://www.espn.com/wnba/player/bio/_/id/2529137/natasha-cloud,matched,normalized_full_name_exact,
natashahoward,203827,Natasha Howard,MIN,2026-08-19,2529130,Natasha Howard,13,https://www.espn.com/wnba/player/bio/_/id/2529130/natasha-howard,matched,normalized_full_name_exact,
natashamack,1630442,Natasha Mack,PHX,2026-08-16,4068042,Natasha Mack,4,https://www.espn.com/wnba/player/bio/_/id/4068042/natasha-mack,matched,normalized_full_name_exact,
natishahiedeman,1629567,Natisha Hiedeman,SEA,2026-08-14,3906753,Natisha Hiedeman,8,https://www.espn.com/wnba/player/bio/_/id/3906753/natisha-hiedeman,matched,normalized_full_name_exact,
nazhillmon,1631044,Naz Hillmon,ATL,2026-08-20,4398915,Naz Hillmon,5,https://www.espn.com/wnba/player/bio/_/id/4398915/naz-hillmon,matched,normalized_full_name_exact,
ndjakalengamwenentanda,1643479,Ndjakalenga Mwenentanda,GSV,2026-06-02,5106170,Ndjakalenga Mwenentanda,0,https://www.espn.com/wnba/player/bio/_/id/5106170/ndjakalenga-mwenentanda,matched,normalized_full_name_exact,
nellangloma,1643448,Nell Angloma,CON,2026-08-20,5345319,Nell Angloma,0,https://www.espn.com/wnba/player/bio/_/id/5345319/nell-angloma,matched,normalized_full_name_exact,
niacoffey,1628269,Nia Coffey,MIN,2026-08-19,3054590,Nia Coffey,10,https://www.espn.com/wnba/player/bio/_/id/3054590/nia-coffey,matched,normalized_full_name_exact,
nikolinamilic,1631263,Nikolina Milic,TOR,2026-06-03,4874475,Nikolina Milic,2,https://www.espn.com/wnba/player/bio/_/id/4874475/nikolina-milic,matched,normalized_full_name_exact,
nnekaogwumike,203014,Nneka Ogwumike,LAS,2026-08-20,1068,Nneka Ogwumike,15,https://www.espn.com/wnba/player/bio/_/id/1068/nneka-ogwumike,matched,normalized_full_name_exact,
noemiebrochant,1643493,Noemie Brochant,PHX,2026-08-16,5345524,Noemie Brochant,0,https://www.espn.com/wnba/player/bio/_/id/5345524/noemie-brochant,matched,normalized_full_name_exact,
nyadiewpuoch,1642296,Nyadiew Puoch,PDX,2026-08-16,5209202,Nyadiew Puoch,0,https://www.espn.com/wnba/player/bio/_/id/5209202/nyadiew-puoch,matched,normalized_full_name_exact,
nyarasabally,1631055,Nyara Sabally,TOR,2026-08-12,4398768,Nyara Sabally,4,https://www.espn.com/wnba/player/bio/_/id/4398768/nyara-sabally,matched,normalized_full_name_exact,
odysseysims,203824,Odyssey Sims,DAL,2026-08-20,2529047,Odyssey Sims,13,https://www.espn.com/wnba/player/bio/_/id/2529047/odyssey-sims,matched,normalized_full_name_exact,
oliviamiles,1643426,Olivia Miles,MIN,2026-08-19,4433791,Olivia Miles,0,https://www.espn.com/wnba/player/bio/_/id/4433791/olivia-miles,matched,normalized_full_name_exact,
olivianelsonododa,1631135,Olivia Nelson-Ododa,CON,2026-08-20,4398966,Olivia Nelson-Ododa,5,https://www.espn.com/wnba/player/bio/_/id/4398966/olivia-nelson-ododa,matched,normalized_full_name_exact,
ornellabankole,1643706,Ornella Bankole,TOR,2026-08-19,5364343,Ornella Bankole,0,https://www.espn.com/wnba/player/bio/_/id/5364343/ornella-bankole,matched,normalized_full_name_exact,
paigebueckers,1642784,Paige Bueckers,DAL,2026-08-20,4433730,Paige Bueckers,2,https://www.espn.com/wnba/player/bio/_/id/4433730/paige-bueckers,matched,normalized_full_name_exact,
paulineastier,1631136,Pauline Astier,NYL,2026-08-18,5345320,Pauline Astier,0,https://www.espn.com/wnba/player/bio/_/id/5345320/pauline-astier,matched,normalized_full_name_exact,
peytonwilliams,1630138,Peyton Williams,PHX,2026-05-09,4068104,Peyton Williams,0,https://www.espn.com/wnba/player/bio/_/id/4068104/peyton-williams,matched,normalized_full_name_exact,
quionchecarter,1643487,Quionche Carter,PHX,2026-07-02,5107404,Quionche Carter,0,https://www.espn.com/wnba/player/bio/_/id/5107404/quionche-carter,matched,normalized_full_name_exact,
rachelbanham,1627671,Rachel Banham,CHI,2026-08-18,2566186,Rachel Banham,11,https://www.espn.com/wnba/player/bio/_/id/2566186/rachel-banham,matched,normalized_full_name_exact,
raeburrell,1630996,Rae Burrell,LAS,2026-08-20,4398764,Rae Burrell,5,https://www.espn.com/wnba/player/bio/_/id/4398764/rae-burrell,matched,normalized_full_name_exact,
raeganbeers,1643441,Raegan Beers,CON,2026-08-20,5105732,Raegan Beers,0,https://www.espn.com/wnba/player/bio/_/id/5105732/raegan-beers,matched,normalized_full_name_exact,
raquelcarrera,1630384,Raquel Carrera,NYL,2026-08-18,4790258,Raquel Carrera,0,https://www.espn.com/wnba/player/bio/_/id/4790258/raquel-carrera,matched,normalized_full_name_exact,
ravenjohnson,1643433,Raven Johnson,IND,2026-08-18,4433797,Raven Johnson,0,https://www.espn.com/wnba/player/bio/_/id/4433797/raven-johnson,matched,normalized_full_name_exact,
rayahmarshall,1642796,Rayah Marshall,CON,2026-08-20,4433792,Rayah Marshall,1,https://www.espn.com/wnba/player/bio/_/id/4433792/rayah-marshall,matched,normalized_full_name_exact,
rebeccaallen,204296,Rebecca Allen,NYL,2026-08-18,3102133,Rebecca Allen,11,https://www.espn.com/wnba/player/bio/_/id/3102133/rebecca-allen,matched,normalized_full_name_exact,
rebekahgardner,203822,Rebekah Gardner,NYL,2026-08-18,2327695,Rebekah Gardner,4,https://www.espn.com/wnba/player/bio/_/id/2327695/rebekah-gardner,matched,normalized_full_name_exact,
rhynehoward,1631009,Rhyne Howard,ATL,2026-08-20,4398674,Rhyne Howard,5,https://www.espn.com/wnba/player/bio/_/id/4398674/rhyne-howard,matched,normalized_full_name_exact,
rickeajackson,1642288,Rickea Jackson,CHI,2026-05-17,4433630,Rickea Jackson,3,https://www.espn.com/wnba/player/bio/_/id/4433630/rickea-jackson,matched,normalized_full_name_exact,
roriharmon,1643450,Rori Harmon,WAS,2026-08-19,4433523,Rori Harmon,0,https://www.espn.com/wnba/player/bio/_/id/4433523/rori-harmon,matched,normalized_full_name_exact,
sabrinaionescu,1629477,Sabrina Ionescu,NYL,2026-08-18,4066533,Sabrina Ionescu,7,https://www.espn.com/wnba/player/bio/_/id/4066533/sabrina-ionescu,matched,normalized_full_name_exact,
samiwhitcomb,1628244,Sami Whitcomb,PHX,2026-08-16,887,Sami Whitcomb,10,https://www.espn.com/wnba/player/bio/_/id/887/sami-whitcomb,matched,normalized_full_name_exact,
saniafeagin,1642790,Sania Feagin,LAS,2026-06-17,4433795,Sania Feagin,2,https://www.espn.com/wnba/player/bio/_/id/4433795/sania-feagin,matched,normalized_full_name_exact,
saniyarivers,1642809,Saniya Rivers,CON,2026-08-20,4433514,Saniya Rivers,2,https://www.espn.com/wnba/player/bio/_/id/4433514/saniya-rivers,matched,normalized_full_name_exact,
sarahashleebarker,1642782,Sarah Ashlee Barker,PDX,2026-07-22,4703794,Sarah Ashlee Barker,2,https://www.espn.com/wnba/player/bio/_/id/4703794/sarah-ashlee-barker,matched,normalized_full_name_exact,
satousabally,1630149,Satou Sabally,NYL,2026-06-23,4281929,Satou Sabally,7,https://www.espn.com/wnba/player/bio/_/id/4281929/satou-sabally,matched,normalized_full_name_exact,
saylorpoffenbarger,1643458,Saylor Poffenbarger,CHI,2026-06-22,4433542,Saylor Poffenbarger,0,https://www.espn.com/wnba/player/bio/_/id/4433542/saylor-poffenbarger,matched,normalized_full_name_exact,
serahwilliams,1643436,Serah Williams,PDX,2026-08-16,5108550,Serah Williams,0,https://www.espn.com/wnba/player/bio/_/id/5108550/serah-williams,matched,normalized_full_name_exact,
shakiraaustin,1631022,Shakira Austin,WAS,2026-08-19,4398911,Shakira Austin,5,https://www.espn.com/wnba/player/bio/_/id/4398911/shakira-austin,matched,normalized_full_name_exact,
shatoriwalkerkimbrough,1628278,Shatori Walker-Kimbrough,ATL,2026-08-20,3058893,Shatori Walker-Kimbrough,10,https://www.espn.com/wnba/player/bio/_/id/3058893/shatori-walker-kimbrough,matched,normalized_full_name_exact,
shayciezki,1643470,Shay Ciezki,PHX,2026-06-27,4688629,Shay Ciezki,0,https://www.espn.com/wnba/player/bio/_/id/4688629/shay-ciezki,matched,normalized_full_name_exact,
sikakone,1631021,Sika Kone,ATL,2026-08-20,5017721,Sika Kone,4,https://www.espn.com/wnba/player/bio/_/id/5017721/sika-kone,matched,normalized_full_name_exact,
skylardiggins,203400,Skylar Diggins,CHI,2026-07-03,2491205,Skylar Diggins,12,https://www.espn.com/wnba/player/bio/_/id/2491205/skylar-diggins,matched,normalized_full_name_exact,
soniacitron,1642785,Sonia Citron,WAS,2026-08-19,4433524,Sonia Citron,2,https://www.espn.com/wnba/player/bio/_/id/4433524/sonia-citron,matched,normalized_full_name_exact,
sophiecunningham,1629482,Sophie Cunningham,IND,2026-08-20,3907781,Sophie Cunningham,8,https://www.espn.com/wnba/player/bio/_/id/3907781/sophie-cunningham,matched,normalized_full_name_exact,
stefaniedolson,203828,Stefanie Dolson,SEA,2026-08-16,2529183,Stefanie Dolson,13,https://www.espn.com/wnba/player/bio/_/id/2529183/stefanie-dolson,matched,normalized_full_name_exact,
stephanietalbot,203855,Stephanie Talbot,LVA,2026-08-20,3099736,Stephanie Talbot,8,https://www.espn.com/wnba/player/bio/_/id/3099736/stephanie-talbot,matched,normalized_full_name_exact,
sugsutton,1630134,Sug Sutton,DAL,2026-08-20,4068159,Sug Sutton,5,https://www.espn.com/wnba/player/bio/_/id/4068159/sug-sutton,matched,normalized_full_name_exact,
sydneytaylor,1642321,Sydney Taylor,CHI,2026-08-18,4594786,Sydney Taylor,0,https://www.espn.com/wnba/player/bio/_/id/4594786/sydney-taylor,matched,normalized_full_name_exact,
taniyalatson,1643444,Ta'Niya Latson,LVA,2026-08-18,4609797,Ta'Niya Latson,0,https://www.espn.com/wnba/player/bio/_/id/4609797/taniya-latson,matched,normalized_full_name_exact,
tainamair,1643473,Taina Mair,SEA,2026-08-16,5106222,Taina Mair,0,https://www.espn.com/wnba/player/bio/_/id/5106222/taina-mair,matched,normalized_full_name_exact,
taylorthierry,1642814,Taylor Thierry,SEA,2026-08-14,4898400,Taylor Thierry,2,https://www.espn.com/wnba/player/bio/_/id/4898400/taylor-thierry,matched,normalized_full_name_exact,
tehinapaopao,1642804,Te-Hina Paopao,ATL,2026-08-20,4433431,Te-Hina Paopao,2,https://www.espn.com/wnba/player/bio/_/id/4433431/te-hina-paopao,matched,normalized_full_name_exact,
teairamccowan,1629479,Teaira McCowan,MIN,2026-06-24,3913903,Teaira McCowan,6,https://www.espn.com/wnba/player/bio/_/id/3913903/teaira-mccowan,matched,normalized_full_name_exact,
tejaoblak,1643506,Teja Oblak,PDX,2026-08-14,5346554,Teja Oblak,0,https://www.espn.com/wnba/player/bio/_/id/5346554/teja-oblak,matched,normalized_full_name_exact,
temifagbenle,1627701,Temi Fagbenle,TOR,2026-08-19,2569044,Temi Fagbenle,6,https://www.espn.com/wnba/player/bio/_/id/2569044/temi-fagbenle,matched,normalized_full_name_exact,
teonnikey,1643457,Teonni Key,TOR,2026-08-19,4434020,Teonni Key,0,https://www.espn.com/wnba/player/bio/_/id/4434020/teonni-key,matched,normalized_full_name_exact,
tiffanyhayes,203026,Tiffany Hayes,GSV,2026-08-19,1054,Tiffany Hayes,14,https://www.espn.com/wnba/player/bio/_/id/1054/tiffany-hayes,matched,normalized_full_name_exact,
timapouye,1643647,Tima Pouye,TOR,2026-07-30,5355509,Tima Pouye,0,https://www.espn.com/wnba/player/bio/_/id/5355509/tima-pouye,matched,normalized_full_name_exact,
toniemorgan,1643439,Tonie Morgan,LAS,2026-08-20,4565515,Tonie Morgan,0,https://www.espn.com/wnba/player/bio/_/id/4565515/tonie-morgan,matched,normalized_full_name_exact,
tyashaharris,1630112,Tyasha Harris,IND,2026-08-20,4065760,Tyasha Harris,7,https://www.espn.com/wnba/player/bio/_/id/4065760/tyasha-harris,matched,normalized_full_name_exact,
valerianeayayi,204468,Valeriane Ayayi,PHX,2026-08-16,3919496,Valeriane Ayayi,2,https://www.espn.com/wnba/player/bio/_/id/3919496/valeriane-ayayi,matched,normalized_full_name_exact,
veronicaburton,1631007,Veronica Burton,GSV,2026-08-19,4398935,Veronica Burton,5,https://www.espn.com/wnba/player/bio/_/id/4398935/veronica-burton,matched,normalized_full_name_exact,
zaaygreen,1642791,Zaay Green,TOR,2026-08-19,4398766,Zaay Green,0,https://www.espn.com/wnba/player/bio/_/id/4398766/zaay-green,matched,normalized_full_name_exact,
ziacooke,1641660,Zia Cooke,SEA,2026-08-16,4432832,Zia Cooke,4,https://www.espn.com/wnba/player/bio/_/id/4432832/zia-cooke,matched,normalized_full_name_exact,
dulcyfankammendjiadeu,,,,,4594527,Dulcy Fankam Mendjiadeu,2,https://www.espn.com/wnba/player/bio/_/id/4594527/dulcy-fankam-mendjiadeu,source_only,normalized_full_name_exact,no_pbpstats_game_record
ilianarupert,espn:4790263,,GSV,,4790263,Iliana Rupert,4,https://www.espn.com/wnba/player/bio/_/id/4790263/iliana-rupert,source_only,espn_roster_identity_reviewed,no_pbpstats_game_record
janiahbarker,espn:4565501,,LVA,,4565501,Janiah Barker,0,https://www.espn.com/wnba/player/bio/_/id/4565501/janiah-barker,source_only,espn_roster_identity_reviewed,no_pbpstats_game_record
karadunn,,,,,4698730,Kara Dunn,0,https://www.espn.com/wnba/player/bio/_/id/4698730/kara-dunn,source_only,normalized_full_name_exact,no_pbpstats_game_record
sheypeddy,,,,,1107,Shey Peddy,6,https://www.espn.com/wnba/player/bio/_/id/1107/shey-peddy,source_only,normalized_full_name_exact,no_pbpstats_game_record
michelleonyiah,1642803,Michelle Onyiah,IND,2026-08-23,4433744,Ugonne Onyiah,0,https://www.wnba.com/player/1642803,matched,manual_alias_espn_to_pbpstats,
morganmaly,1642835,Morgan Maly,CHI,2026-08-23,4599199,Morgan Maly,0,https://www.wnba.com/player/1642835,matched,manual_exact_name_espn_to_pbpstats,
