season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,specialized_shooter_label,efg_pct_feature,ts_pct_feature,shotquality_pbp_feature,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share
2026,1631019,NaLyssa Smith,Low,70.0,Low-Volume Efficient Shooter,0.7071428571428572,0.6797752808988764,0.4901721428571428,0.42857142857142855,0.5285714285714286,,
2026,1629546,Marine Johannes,Usable,106.0,Above-Break Spacer,0.6084905660377359,0.6227272727272727,0.5133138095238096,0.08490566037735849,0.1320754716981132,0.7830188679245282,0.8679245283018867
2026,203827,Natasha Howard,Usable,128.0,Rim Pressure Finisher,0.640625,0.6482758620689655,0.58916953125,0.78125,0.1875,,
2026,1628932,A'ja Wilson,Usable,196.0,Midrange Specialist,0.5586734693877551,0.6195652173913043,0.4551091836734694,0.2193877551020408,0.6428571428571428,0.1377551020408163,0.3571428571428571
2026,1628269,Nia Coffey,Low,75.0,Low-Volume Efficient Shooter,0.6466666666666666,0.6533333333333333,0.5320893333333333,0.24,0.12,0.64,0.88
2026,1642784,Paige Bueckers,Usable,136.0,Midrange Specialist,0.5588235294117647,0.5953947368421053,0.4528548148148147,0.11764705882352941,0.5588235294117647,0.32352941176470584,0.4411764705882353
2026,1627675,Courtney Williams,Usable,169.0,Midrange Specialist,0.5355029585798816,0.5436046511627907,0.445273372781065,0.07100591715976332,0.6804733727810651,0.2485207100591716,0.3195266272189349
2026,1629491,Jessica Shepard,Low,96.0,Low-Volume Efficient Shooter,0.5729166666666666,0.6136363636363636,0.5329437499999999,0.625,0.3229166666666667,0.05208333333333333,0.6770833333333334
2026,203833,Chelsea Gray,Usable,105.0,Midrange Specialist,0.5142857142857142,0.5412844036697247,0.4562466666666667,0.047619047619047616,0.4666666666666667,0.4857142857142857,0.5333333333333333
2026,1642292,Jacy Sheldon,Low,65.0,Balanced Three-Level Scorer,0.5538461538461539,0.6029411764705882,0.5171953846153846,0.3076923076923077,0.24615384615384617,0.4461538461538462,0.7538461538461538
2026,1642782,Sarah Ashlee Barker,Low,99.0,Low-Volume Efficient Shooter,0.5959595959595959,0.6179245283018868,0.5120252577319587,0.3434343434343434,0.25252525252525254,0.4040404040404041,0.7474747474747475
2026,1629484,Megan Gustafson,Low,92.0,Low-Volume Efficient Shooter,0.6521739130434783,0.6862745098039216,0.5098472826086956,0.45652173913043476,,0.30434782608695654,0.7608695652173914
2026,1631009,Rhyne Howard,Usable,120.0,Above-Break Spacer,0.55,0.5946969696969697,0.5045188034188034,0.125,0.23333333333333334,0.6416666666666666,0.7666666666666666
2026,1628909,Kelsey Mitchell,Usable,175.0,Balanced Three-Level Scorer,0.5228571428571429,0.5681818181818182,0.52194,0.37714285714285717,0.26857142857142857,0.3542857142857143,0.7314285714285715
2026,203398,Brittney Griner,Low,55.0,Midrange Specialist,0.5454545454545454,0.5923076923076923,0.4798890909090909,0.4,0.5636363636363636,,
2026,1642785,Sonia Citron,Low,91.0,Low-Volume Efficient Shooter,0.5824175824175825,0.6608695652173913,0.507655,0.3076923076923077,0.3186813186813187,0.37362637362637363,0.6813186813186813
2026,203855,Stephanie Talbot,Low,41.0,Balanced Three-Level Scorer,0.5,0.5227272727272727,0.5369219512195121,0.14634146341463414,0.21951219512195125,0.6341463414634146,0.7804878048780488
2026,1643493,Noemie Brochant,Low,56.0,Balanced Three-Level Scorer,0.5089285714285714,0.5258620689655172,0.5050625,0.125,0.3392857142857143,0.5357142857142857,0.6607142857142857
2026,1643506,Teja Oblak,Low,35.0,Low-Volume Efficient Shooter,0.6,0.6081081081081081,0.4870928571428571,0.2571428571428571,0.4285714285714286,0.3142857142857143,0.5714285714285714
2026,1631022,Shakira Austin,Usable,110.0,Rim Pressure Finisher,0.509090909090909,0.575187969924812,0.4942609090909091,0.45454545454545453,0.45454545454545453,,
